# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/ISO/IEC_8859-10


# characters 0x00-0x7f as in code page 437

0x80		#UNDEFINED
0x81		#UNDEFINED
0x82		#UNDEFINED
0x83		#UNDEFINED
0x84		#UNDEFINED
0x85		#UNDEFINED
0x86		#UNDEFINED
0x87		#UNDEFINED
0x88		#UNDEFINED
0x89		#UNDEFINED
0x8a		#UNDEFINED
0x8b		#UNDEFINED
0x8c		#UNDEFINED
0x8d		#UNDEFINED
0x8e		#UNDEFINED
0x8f		#UNDEFINED
0x90		#UNDEFINED
0x91		#UNDEFINED
0x92		#UNDEFINED
0x93		#UNDEFINED
0x94		#UNDEFINED
0x95		#UNDEFINED
0x96		#UNDEFINED
0x97		#UNDEFINED
0x98		#UNDEFINED
0x99		#UNDEFINED
0x9a		#UNDEFINED
0x9b		#UNDEFINED
0x9c		#UNDEFINED
0x9d		#UNDEFINED
0x9e		#UNDEFINED
0x9f		#UNDEFINED
0xa0	0x00a0  #NO-BREAK SPACE
0xa1	0x0104  #LATIN CAPITAL LETTER A WITH OGONEK
0xa2	0x0112  #LATIN CAPITAL LETTER E WITH MACRON
0xa3	0x0122  #LATIN CAPITAL LETTER G WITH CEDILLA
0xa4	0x012a  #LATIN CAPITAL LETTER I WITH MACRON
0xa5	0x0128  #LATIN CAPITAL LETTER I WITH TILDE
0xa6	0x0136  #LATIN CAPITAL LETTER K WITH CEDILLA
0xa7	0x00a7  #SECTION SIGN
0xa8	0x013b  #LATIN CAPITAL LETTER L WITH CEDILLA
0xa9	0x0110  #LATIN CAPITAL LETTER D WITH STROKE
0xaa	0x0160  #LATIN CAPITAL LETTER S WITH CARON
0xab	0x0166  #LATIN CAPITAL LETTER T WITH STROKE
0xac	0x017d  #LATIN CAPITAL LETTER Z WITH CARON
0xad	0x00ad  #SOFT HYPHEN
0xae	0x016a  #LATIN CAPITAL LETTER U WITH MACRON
0xaf	0x014a  #LATIN CAPITAL LETTER ENG
0xb0	0x00b0  #DEGREE SIGN
0xb1	0x0105  #LATIN SMALL LETTER A WITH OGONEK
0xb2	0x0113  #LATIN SMALL LETTER E WITH MACRON
0xb3	0x0123  #LATIN SMALL LETTER G WITH CEDILLA
0xb4	0x012b  #LATIN SMALL LETTER I WITH MACRON
0xb5	0x0129  #LATIN SMALL LETTER I WITH TILDE
0xb6	0x0137  #LATIN SMALL LETTER K WITH CEDILLA
0xb7	0x00b7  #MIDDLE DOT
0xb8	0x013c  #LATIN SMALL LETTER L WITH CEDILLA
0xb9	0x0111  #LATIN SMALL LETTER D WITH STROKE
0xba	0x0161  #LATIN SMALL LETTER S WITH CARON
0xbb	0x0167  #LATIN SMALL LETTER T WITH STROKE
0xbc	0x017e  #LATIN SMALL LETTER Z WITH CARON
